#Classification	210222Fox_D21-2140_bracken_species.kreport2	210222Fox_D21-2142_bracken_species.kreport2	210222Fox_D21-2143_bracken_species.kreport2	210222Fox_D21-2144_bracken_species.kreport2	210222Fox_D21-2145_bracken_species.kreport2	210222Fox_D21-2146_bracken_species.kreport2	210222Fox_D21-2147_bracken_species.kreport2	210713Fox_D21-6682_bracken_species.kreport2	210713Fox_D21-6683_bracken_species.kreport2	210713Fox_D21-6684_bracken_species.kreport2	210713Fox_D21-6685_bracken_species.kreport2	210713Fox_D21-6686_bracken_species.kreport2	210713Fox_D21-6687_bracken_species.kreport2	210713Fox_D21-6688_bracken_species.kreport2	210713Fox_D21-6689_bracken_species.kreport2	210713Fox_D21-6690_bracken_species.kreport2	210713Fox_D21-6691_bracken_species.kreport2	210713Fox_D21-6692_bracken_species.kreport2	210713Fox_D21-6693_bracken_species.kreport2
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Sarcocystidae|g__Hammondia|s__Hammondia_hammondi	258	420	418	377	274	242	249	90	88	84	192	201	159	119	103	243	286	88	122
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Sarcocystidae|g__Toxoplasma|s__Toxoplasma_gondii	384	794	711	770	508	461	437	189	207	258	521	406	438	249	290	447	545	208	279
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Sarcocystidae|g__Sarcocystis|s__Sarcocystis_neurona	1593	3318	3299	2932	2217	2007	1669	472	356	549	1160	1036	1112	573	714	1364	1177	495	676
k__Eukaryota|f__Vitrellaceae|g__Vitrella|s__Vitrella_brassicaformis	1188	2368	1953	2031	1240	1255	1283	588	589	633	853	830	676	773	770	740	963	666	641
k__Eukaryota|f__Chromeraceae|g__Chromera|s__Chromera_velia	2952	4992	4563	3796	3347	2791	3230	1539	2050	1895	2065	2637	2546	2347	2264	2437	4063	1868	1583
k__Eukaryota|p__Blastocladiomycota|c__Blastocladiomycetes|o__Blastocladiales|f__Blastocladiaceae|g__Allomyces|s__Allomyces_macrogynus	18	55	25	46	26	25	30	0	17	0	13	11	0	10	12	0	12	10	12
k__Eukaryota|p__Microsporidia|f__Pleistophoridae|g__Trachipleistophora|s__Trachipleistophora_hominis	0	10	22	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Microsporidia|f__Pleistophoridae|g__Vavraia|s__Vavraia_culicis	0	14	17	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Microsporidia|f__Spraguidae|g__Spraguea|s__Spraguea_lophii	0	17	15	25	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Microsporidia|f__Unikaryonidae|g__Encephalitozoon|s__Encephalitozoon_intestinalis	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Microsporidia|f__Unikaryonidae|g__Encephalitozoon|s__Encephalitozoon_romaleae	0	29	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
